studyName,Sample Number,Species,Region,Island,Stage,Individual ID,Clutch Completion,Date Egg,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo),Comments
PAL0708,31,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N21A1,Yes,2007-11-09,39.5,16.7,178,3250,FEMALE,9.69756,-25.11223,NA
PAL0708,32,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N21A2,Yes,2007-11-09,37.2,18.1,178,3900,MALE,9.72764,-25.0102,NA
PAL0708,33,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N22A1,Yes,2007-11-09,39.5,17.8,188,3300,FEMALE,9.66523,-25.0602,NA
PAL0708,34,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N22A2,Yes,2007-11-09,40.9,18.9,184,3900,MALE,8.79665,-25.14591,NA
PAL0708,35,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N23A1,Yes,2007-11-16,36.4,17,195,3325,FEMALE,9.17847,-25.23061,NA
PAL0708,36,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N23A2,Yes,2007-11-16,39.2,21.1,196,4150,MALE,9.15308,-25.03469,NA
PAL0708,37,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N24A1,Yes,2007-11-16,38.8,20,190,3950,MALE,9.18985,-25.12255,NA
PAL0708,38,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N24A2,Yes,2007-11-16,42.2,18.5,180,3550,FEMALE,8.04787,-25.49523,NA
PAL0708,39,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N25A1,No,2007-11-13,37.6,19.3,181,3300,FEMALE,9.41131,-25.04169,Nest never observed with full clutch.
PAL0708,40,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N25A2,No,2007-11-13,39.8,19.1,184,4650,MALE,NA,NA,Nest never observed with full clutch. Not enough blood for isotopes.
PAL0708,41,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N26A1,Yes,2007-11-16,36.5,18,182,3150,FEMALE,9.68933,-24.4228,NA
PAL0708,42,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N26A2,Yes,2007-11-16,40.8,18.4,195,3900,MALE,NA,NA,Not enough blood for isotopes.
PAL0708,43,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N27A1,Yes,2007-11-19,36,18.5,186,3100,FEMALE,9.50772,-25.03492,NA
PAL0708,44,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N27A2,Yes,2007-11-19,44.1,19.7,196,4400,MALE,9.2372,-24.52698,NA
PAL0708,45,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N28A1,Yes,2007-11-16,37,16.9,185,3000,FEMALE,9.36392,-25.01745,NA
PAL0708,46,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N28A2,Yes,2007-11-16,39.6,18.8,190,4600,MALE,9.49106,-24.10255,NA
PAL0708,47,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N29A1,Yes,2007-11-13,41.1,19,182,3425,MALE,NA,NA,Not enough blood for isotopes.
PAL0708,48,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N29A2,Yes,2007-11-13,37.5,18.9,179,2975,NA,NA,NA,Sexing primers did not amplify. Not enough blood for isotopes.
PAL0708,49,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N30A1,Yes,2007-11-13,36,17.9,190,3450,FEMALE,9.51784,-25.07683,NA
PAL0708,50,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N30A2,Yes,2007-11-13,42.3,21.2,191,4150,MALE,8.87988,-25.18543,NA
PAL0809,85,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N41A1,Yes,2008-11-17,37.3,17.8,191,3350,FEMALE,8.32718,-26.38396,NA
PAL0809,86,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N41A2,Yes,2008-11-17,41.3,20.3,194,3550,MALE,9.14863,-26.09635,NA
PAL0809,87,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N42A1,Yes,2008-11-08,36.3,19.5,190,3800,MALE,8.57087,-26.22227,NA
PAL0809,88,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N42A2,Yes,2008-11-08,36.9,18.6,189,3500,FEMALE,8.59147,-26.08165,NA
PAL0809,89,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N44A1,Yes,2008-11-08,38.3,19.2,189,3950,MALE,9.07826,-26.12417,NA
PAL0809,90,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N44A2,Yes,2008-11-08,38.9,18.8,190,3600,FEMALE,8.36936,-26.11199,NA
PAL0809,91,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N45A1,Yes,2008-11-14,35.7,18,202,3550,FEMALE,8.46531,-26.05621,NA
PAL0809,92,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N45A2,Yes,2008-11-14,41.1,18.1,205,4300,MALE,8.77018,-25.83352,NA
PAL0809,93,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N46A1,Yes,2008-11-05,34,17.1,185,3400,FEMALE,8.01485,-26.695430000000002,NA
PAL0809,94,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N46A2,Yes,2008-11-05,39.6,18.1,186,4450,MALE,8.49915,-26.42406,NA
PAL0809,95,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N48A1,Yes,2008-11-17,36.2,17.3,187,3300,FEMALE,8.90723,-26.30037,NA
PAL0809,96,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N48A2,Yes,2008-11-17,40.8,18.9,208,4300,MALE,8.48204,-26.57941,NA
PAL0809,97,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N49A1,Yes,2008-11-08,38.1,18.6,190,3700,FEMALE,8.10277,-26.50086,NA
PAL0809,98,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N49A2,Yes,2008-11-08,40.3,18.5,196,4350,MALE,8.3945900000000009,-26.01152,NA
PAL0809,99,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N50A1,Yes,2008-11-10,33.1,16.1,178,2900,FEMALE,9.04218,-26.15775,NA
